text,sentiment
suara baik nyaman baterai awet,positive
pas,positive
barang segel baik fungsi keran,positive
harga ribu tidak harga suara,negative
alhamdulillah lumayan bagus,positive
barang sesuai ekspektasi terima kasih,positive
barang terima kualitas bagus terima kasih,positive
pakai barang oke kualitas suara bagus daya tahan baterai tidak awet pakai jam langsung habis,positive
barang bagus kirim ampun,positive
lega packing aman kualitas bagus barang fungsi baik,positive
kabel usb tidak bisa koneksi wireless headset buka boks wireless susah,negative
barang sesuai kondisi baik bagus paket rapi aman terima kasih,positive
fungsi baik,positive
sesuai pesan,positive
barang aman kurir lelet,positive
kirim cepat barang fungsi baik kualitas suara jelek skala kualitas suara skor anyway sesuai harga,neutral
kualitas produk oke kemas paket rapih kirim barang cepat terima kasih tokopedia kualitas produk ok kemas paket rapih kirim cepat,positive
ok barang dah terima aman sesuai pesan terima kasih toko,positive
bagus,positive
bad quality belah kanan somplak cuman tidak fungsi indah,neutral
lumayan,positive
suara lumayan oke harga sekian baterai cepat habis,positive
fungsi moga awet,positive
mantap packing bagus,positive
fungsi,neutral
suara bagus harganyanjuga sahabat,positive
terima kasih jual paket nya dah moga sukses,positive
mantap rokomendasi,positive
sesuai harga kadang suka hilang sebentar suara oke,positive
mantap bagus sesuai harga,positive
desain modern suara jernih,positive
packing aman kirim cepat jual responsif suara oke nyaman ear tipsnya oke kualitas baik koneksi aman material plastik baik rekomendasi tha,positive
barang ok,positive
ok,positive
baterai awet kualitas suara harga kok ukur harga kayak cinta bass serasa suka musik dominan,positive
terima kasih,positive
tws powerbank bagus kabel charger kabel usb belum type,positive
sesuai harga tidak bisa berekspektasi,neutral
bagus barang moga awet,positive
barang beli kemas kondisi penyok segingga kemas rusak belum coba kualitas,negative
bagus fungsi baik,positive
fungsi baik istri senang,positive
headset rusak belah tidak bisa tukar tidak sesuai gambar,negative
headsetnya bagus untung selamat kardus emas nya baik aja sih terima kasih,positive
kirim emas baik fungsi baik tahan jatuh keren led nya kualitas suara bagus baterai super awet,positive
lumayan kadang suka mati hidup charge,positive
barang ok kirim cepat status kirim,positive
kirim cepat barang hitam oke,positive
barang fungsi baik,positive
moga awet,positive
bagus,positive
so barang ok moga ok,positive
nice,positive
bagus cepat,positive
baramg oke kualitas baik suara mantap harga jangkau layan cepat,positive
paket isi sesuai order descripsi bagus packing rapat aman jual resposif cepat coba,neutral
barang sesuai pesan fungsi baik packing aman but bagus,positive
barang sesuai muas jual cepat respon,positive
mantap sempurna harga gin tidak nyesal,positive
mati kanan tidak bisa komplain tidak video unboxing resiko beli barang murah bagus tws harga up,neutral
mantap suara,positive
packing bagus dah tes charging ok fungsi normal,positive
kirim tidak alias,neutral
mantap,positive
bassnya enak earbuts nya pas comfortable,positive
packing aman pakai bubble wrap kardus lengkap kabel usb eartip cadang sedia unboxing aman nice thankss,positive
senang pesan nya udah cepat nya,positive
maaf tidak bisa kasih foto ponsel ku salah mataaplah toko terima kasih,positive
barang sesuai,positive
baterai cepat habis,neutral
bagus barang terima kasih,positive
mantap,positive
mati belah cas tidak bisa,negative
terima kasih,positive
sesuai pesan,positive
bagus,positive
suara suka putus,positive
packing nya aman barang baik baik,positive
sesuai pesan packing aman harga jangkau belum coba moga bagus,positive
kualitas barang ok harga murah jual responsif,positive
harga murah tidak ush ngomongin kualitas suara bunyi alhamdulillah haha,neutral
tidak hoki aja paket kota tuju kurir tidak nganter kapok pake kurir pas paket buka udah penyok dalem buka coba pas,negative
mantap,positive
ok bagus fungsi baik,positive
mantap jiwa,positive
barang sesuai pesan proses kirim cepat jual rada balas chat pesan barang coba fungsi baik moga,positive
mantap kirim cepat kualitas suara bass nya baik sesuai harga tidak kecewa,positive
grtais nigkro jdia laam smpainay ihar,positive
barang bagus suara jozzzz,positive
mantap sesuai deskripsi,positive
bagus,positive
barang original desain modern expedisi nya pilih expedisi kek terima kasih,positive
sayang gaada terang nya kanan fitur sentuh nya tidak jalan,positive
suara jernih pecah,positive
fungsi baik kualitas sesuai harga lumayan,positive
fungsi baik terima kasih,positive
barang ok kirim cepat packing rapi pokok nya ok bass nya mantap,positive
barang fungsi baik suara oke jernih nyaman dipake moga awet,positive
cakep sih,positive
terima kasih,neutral
fungsi baik suara jernih bass lumayan packing aman pakai bubblewarp tidak tebal lumayan harga segitu mah terima kasih udah kirim,positive
sesuai harga,positive
barang sesuai gambar paket rapi,positive
bagus,positive
terima kasih,positive
bagus,positive
kualitas barang bagus,positive
kirim sesuai jadwal barang sesuai pesan bagus terima kasih,positive
ok kak mantap packing baik bagus aman kak bisa cas nyala nya gokil fungsi baik sip deh,positive
ngirimnya awet aja baterai,neutral
paket aman kualitas harga sesuai harga cepat kurir ramah terima kasih,positive
barang nya bagus kualitas nya okkkk topppppppppppp,positive
barang kirim alhamdulillah barang normal bisa langsung dipdipakai,positive
barang sesuai pesan fungsi baik jual cepat responsif,positive
terima kasih paket respon jual cepat packing aman alat fungsi baik suara bagus jernih,positive
terima baik,positive
mantap enak bass nya,positive
bagus,positive
bagus suka,positive
versi tidak on mati manual,positive
ear bluetooth belah kanan tidak fungsi kecewa,negative
mantabbb jual ok barang ok,positive
mantap barang oke tidak nya kirim nya cepat jual,positive
pakai mntap,positive
kualitas harga sih udah dipake nggakda moga barang bisa diapakai kasih bintang deh,positive
audio delay suara lumayan speaker belah kiri mode charging indikator merah belah kanan penuh kiri mode charging,negative
maksih kakak barang nya muas terima kasih kakak,positive
bagus nyala harga murah riah udah tws canggih moga awet deh,positive
cepat rusak pake udah gak bisa cas,negative
barang rekomended ok,positive
keren ok dengerin musik vc,positive
kali pakai belah kiri salah harga nya murah,positive
barang bagus pokok mantap dah tokopedia,positive
headset nya belah tidak bisa hubung bluetooth kecewa beli tokoh beli tidak usah,negative
sesuai pesan sesuai harga,positive
barang sesuai deskripsi udah coba bagus terima kasih,positive
senang bagus bisa power bank blutut suara jrrnih fungsi sby barang aman kendali,positive
suara bagus keren bassnya stereo harga murah moga awet,positive
sesuai gambar suara bagus,positive
barang terima fungsi baik suara bass,positive
kadang putus suara,positive
barang bagus belum ngerti nyala mati belum paham tanda lingkar hijau,positive
mantap,positive
headsetnya hidup,positive
cepat respon cepat terima,positive
amannnn,positive
terima kasih kak,positive
barang fungsi baik,positive
mantap tenan,positive
bagus,positive
kirim cepat headsetnya kerja baik eartipnya medium bisa diatu atur dipake bareng helm tidak gampang copot,positive
fungsi nya suara sesuai harga lumayan,positive
barang nyaman pakai harga murah belum tau awet tidak baterai tampil bagus,positive
mantafff sukses trus boss,positive
cepat packing lumayan bagus kurir ramah baik jual dah terima kasih tokopedia,positive
mantap harga gin bisa muncul indikator isi bisa tap tap fungsi bisa powerbank sih mantap jara,positive
bagus choise mantap,positive
respon lambat jual kurir pesan batas pesan,negative
packing bagus kualitas bagus banget harga murah,positive
pakai kualitas oke harga segitu mantap juragan,positive
cepat kemas rapih,positive
bagus,positive
barang tuju sesuai estimasi,positive
kualitas tara harga murah riah tidak takut hilang pakai sepeda packing rapi respon cepat,positive
suara bagus nya,positive
bagus,positive
barang sesuai kabel cas tidak bisa pakai oke,positive
terima kasih paket terima baik sesuai pesan,positive
kualitas sesuai harga,neutral
alhamdulillaah paket aman bisa fungsi baik amanah kak abg kurir nya baik,positive
mantap,positive
kualitas oke,positive
harga becanda barang gilaaaaa harga gin kualitas suara bisa ngimbangin tws harga rban cuman belum tahan baterai nya murah sih,positive
mantap si mesen jam an sore besok jam an pagi kalo suara nya lumayan enak gantung orang daya tahan baterai nya awet,positive
bagus,positive
barang mantap,positive
barang sesuai pesann,positive
barang bagus,positive
headset belah tidak nyambung koneksi,negative
mantap fungsi baik,positive
kirim cepat puas sesuai gambar harga gin lumayan oke moga aweett,positive
kualitas mantap sesuai harga moga awet,positive
tidak pake bubble bungkus packingnya aman selamat pakai aman aman aja,positive
ok,positive
siiiip,positive
mantap,positive
barang sesuai pesan suara bagus fungsi moga awet kabel kuat,positive
bagus lihat moga awet terima kasih,positive
fungsi baik harga,positive
mantap,positive
barang aman lumayan dengerin music main game,positive
bagus sesuai harga nya,positive
tidak bisa cas bos ganti kabel tidak bisa barang rusak,negative
barang oke gak sesuai harga lumayan dengerin musik,positive
kirim cepat packing baik kualitas twsnya aja kualitas eartips siliconenya bagus fittingnya tidak cocok telinga dampak kualitas,positive
pesan sabtu pagi minggu sore packegin wajar kualitas headset bagus jual responsif,positive
ok,positive
barang sesuai pesan suara mantap trebelnya mantap bassnya lumayan baterai awet kurir cepat is the besss,positive
bagus banget sumpah,positive
barang bagus kirim cepat,positive
barang oke kualitas sesuai,positive
sip,positive
emas bagus tutup bubble bungkus suara bagus harga gin,positive
kualitas ok sesuai deskripsi kirim cepat,positive
bagus,positive
fungsi tidak bisa fungsi beli fungsi dgan baik belah kiri,negative
barang sesuai deskripsi,positive
bagus lumayan harga segitu tws bisa dengar music main game telpon terima kasih,positive
barang fungsi malesnya usb,positive
kualitas suara tidak bagus ekspektasi lumayan sisa muas,positive
barang ok kirim cepat,positive
wlau rim lma packing kurng rapi dus penyok tidak msalah sesuai pesan fungsi baik suara muas terima kasih,positive
mantap barang ok,positive
tws mati belah cas ndk penuh bluetooth tidak terconect belum pencet selesai cek tidak bisa retur arti barang kirim tidak qc du,negative
bagus kirim cepat sukses bos,positive
mantap coy keren suara luyaman harga gin bass suara mantap quality nya coy udah kali sengaja jatoh pakai kena hujan,positive
fungsi mesti murah riah,positive
barang aman boxnya penyok fungsi baik,positive
cepat aman sesuai,positive
mantap anjing mantap,positive
barang sih oke baik kirim sbb lambat,positive
barang mantap bass lumayan mantap rekomendasi harga sgtu baterai awet,positive
suara jelek harga segitu sesuai,positive
harga,positive
fungsi baik,positive
a,positive
barang bagus sesuai gambar fungsi baik,positive
bagus sesuai deskripsi both headset fungsi kualitas sesuai harga moga awet,positive
tidak bisa charger coba pakai kabel type to usb usb to usb tidak bisa kayak rusa boxnya terima cek koneks,negative
packing rapi jual respon cepat barang belum coba moga tidak kendala,positive
kali beli via tokopedia live langsung beli barangcepat emas rapih tksh pinzy official,positive
bagus,positive
kualitas lumayan harga segitu suara bagus,positive
paket headset bluetooth nya kirim cepat belum coba tidak bisa kasih lihat foto pergi kota terima kasih jual toko,positive
barang terima baik sesuai pesan packing aman rapih kirim recomended terima kasih,positive
sayang suara empuk lumayan moga aja awet terima kasih jual toko,positive
power bank nya tidak dukung,positive
barang sesuai deskripsi fungsi baik cepat respond jual packing aman mantap terima kasih jual,positive
kardus peok,positive
barang ok jual ok,positive
barang bagus original pasang mudah pakai mudah pintar bagus suara jernih mantap liat keren pakai,positive
belah kanan tidak nyala cas aja merah kek malem siang nyesal layan admin nya buruk kali pikir pikir,negative
alhamdulillah barang fungsi baik terima kasih,positive
moga awet bisa langgan,positive
barang pesan wis fungsi baik terima kasih,positive
mudah rusak earbudsnya cepat abis tidak bisa charge,negative
bagua kok keren gokil asik asik mantap banget,positive
barang sesuai pesan kualitas bagus tidak rusa,positive
barang mantap cepat fungsi baik keren,positive
telpon suara nya tidak dengar volume full,negative
tampil bagus charger kerja suara gemeresik tidak utama daya baterai tidak tahan maaf tidak bisa kasih rating bagus,negative
kirim cepat barang aman,positive
bagus,positive
kisar harga dbwah udah keren si,positive
mantap,positive
mantap barang min,positive
cepat banget kualitas ok fungsi baik suara jernih harga jangkau sukses trus,positive
mantap fungsi baik terima kasih,positive
ok,positive
barang original suara jernih desain modern koneksi bluetooth kuat harga jangkau bass nya mantap jual ramah,positive
sesuai pesan mantap harga segitu,positive
keren anak senag headset,positive
nambahin buyer mes sedia opsi pilih warna biar tidak kes nipu display hitam putih kualitas sih lumayan sesuai har,positive
alat tidak fungsi,positive
mantap barang fungsi baik moga barang nya awet,positive
pesan type kirim type teliti dikit barang ribu komplain ribet kirim kirim keluarin ongkir,negative
kualitas barang oke kirim barang oke senang belanja tokopedia,positive
packing aman barang fungsi baik udah kali beli amanah sesuai pesan,positive
maaf ulas telat barang mantafff,positive
keren mantepp sesuai pesan pngiriman nya,positive
barang oce,positive
barang sesuai harga baik,positive
paket kemas baik terima kasih,positive
mantap pokok terima kasih barang nya,positive
sesuai harga kurir gercep,positive
bagus minus kalo jaring jelek main game suara delay,positive
mantap,positive
kualitas suara bagus bass gak pecah murah,positive
sulit dpasang desaiinya pas gt telinga,positive
bintang aja karna barang nyasar barang puas,positive
alhamdulillah fungsi baik kirim cepat kurir ramah baik terima kasih jual kurir tokopedia,positive
fungsi baik,positive
kondisi aman,positive
produk fungsi baik produk original emas bagus,positive
packing rapi barang aman,positive
barang ok bass nya aja standard,positive
produk sesuai fungsi baik terima kasih,positive
alhamdulillah fungsi baik mudah an awet,positive
barang fungsi,positive
sesuai harga,neutral
keren,positive
terima kasih,positive
insya allah amanah,positive
bagus suara mantap cuman nyaman aja wajar harga rupa,positive
mantap,positive
bagus tidak delay lancar rekomendasi cari tws murah kualitas bagus,positive
headset nya mati belah tidak tes ps kirim,neutral
nyata cepat duga packingnya bagus belum coba terima kasih jual kurir nya mantap dah,positive
mantap,positive
bagus harga jangkau,positive
all sip,positive
kualitas bagus sesuai harga,positive
lumayan,positive
barang lengkap sesuai deskripsi terima kasih,positive
sip,positive
nice,positive
koneksi bluetooth kuat harga jangkau,positive
kualitas isi baterai nya baik,neutral
barang bagus kualitas suara sesuai harga pakai tidak kendala,positive
gud,positive
mantap jernih suara,positive
packing rapi lumayan sesuai harga,positive
mati belah,neutral
lumayan harga gin udah tws suara enak telinga,positive
fungsi baik kadang indikator baterai headsetnya bisa percaya tidak bad harga segitu,positive
fungsi baik moga bisa tahan kirim cepat,positive
lumayan moga awet,neutral
keren,positive
kirim cepat,positive
amanah barang bagus suara jernih barang tidak langsung tokopedia refundnya bagis,positive
mantap sih harga murah barang tidak murah nalar moga awet terima kasih jual,positive
puas,positive
bagus,positive
cepat respon jual barang sesuai pesan bagus,positive
suara jernih desain modern harga jangkau,positive
barang bagus,positive
maaf kasih bintang indikator baterai tws sisi tidak nyala aju tukar barang udah males quality kontrol,neutral
proses cepat kualitas barang mantap sesuai harga,positive
moga sesuai harap harga,positive
ok bisa powerbank kalo darurat,positive
headset belah kiri tidak fungsi tidak suara,negative
paraaah mah mantap tidak ribu barang bagus cooy suara nyaman cas cepat harga,positive
headset nya mati belah,neutral
suara nya jernih bass treble nya tinggal atur equaliser koneksi mudah cepat belah kanan effort tidak langsung,positive
bintang aja headset nyala kanan doang,positive
mantap pesan,positive
harga murah kualitas banding tidak harap butuh tws dengar suara,positive
packing nya aman barang selamat fungsi normal,positive
bagus,positive
best,positive
alhamdulillah barang sesuai pesan fungsi baik tahan baterai headset nya,positive
terima kasih barang nya bagus enak dengar sesuai gambar jual ramah mantap beli headset nya cocok,positive
sesuai eskpetasi cepat,positive
packingnya rapi bikin kecewa panas belah tidak nyaman dipake nya,positive
terima fungsi baik,positive
barang nya udah dus nya penyok tidak barang nya aman penyok dikit gak ngaruh,positive
baterai awet,positive
oke,positive
capat barang mantap sesuai harga,positive
tidak cocok main game karna delay pas pencet sesuai harga,positive
terima kasih pinzy tokopedia barang terima baik gbu all,positive
kirim nya cepat barang sesuai terima kasih jual recomended,positive
sesuai tidak kecewa,positive
bagus,positive
mantap juragan sesuai gambar mantap,positive
mantap,positive
headset nya gak bisa pake bareng,positive
bagus,positive
kirim cepat packagingnya rapi barang sesuai deskripsi suara tidak ngeba sesuai harga,positive
terima kasih fungsi nya kirim cepat,positive
fungsi baik suara mantap adem telinga,positive
sesuai harga tidak muas,neutral
nyata nya cepat sat set tidak ribet,positive
ngechas fungsi baik,positive
fungsi normal docking charger nya lumayan moga awet tahan earphonenya,positive
kardus emas penyok barang bagus sesuai harga,positive
barang ok kirim cepat,positive
sayang tidak bisa pakai kanan kiri mati,neutral
produk sesuai deskripsi suara bass mantap,positive
barang patah tidak tau kirim toko online nya inti kualitas buruk,negative
barang original koneksi android lancar suara bersih proses pesan cepat,positive
terima kasih packing rapi aman cepat,positive
aja tidak ngebass,neutral
qualitasnya bagus suara dengar,positive
kirim cepat emas rapi sesuai pilih,positive
produk tidak kecewa layan bagus harga kompetitip rekomendasi beli,positive
puas cepat,positive
mantap harga sesuai tidak kecewa respon jual cepat cepat,positive
mantap,positive
tidak fungsi pas langsung coba suara baik kalo bisa tukar,negative
mantap suara gokill,positive
sebenernya hati beli tws abal abal kalo aja tidak pengaruh review yt emg tidak beli liat direview twsnya oke,negative
barang nya bagus bass nya,positive
sesuai,positive
bagus fungsi baik normal,positive
bagus barang nya mantap recomended jual mantap jiwa,positive
barang bagus sesuai harga,positive
barang selamat fungsi baik terima kasih moga awet,positive
lubang cas miring paksa dikit masuk port pas ngecasnya,neutral
oke,positive
ngebass karet cadang tidak,positive
kirim cepat fungsi baik,positive
fungsi baik,positive
keren mudah link bt baik kualitas suara,positive
barang udah terima enak dengar telinga jernih tidak sich kurirx ramah sahabat sukses resellernya pake,positive
bagus bagus aja moga bagus bagus aja,positive
headdsetnya kanan,negative
barang bagus fungsi baik packing aman rapi,positive
koneksi jelek,negative
tidak sesuai warna,positive
sesuai iklan fungsi baik belum pakai coba connect tlp oiya kardus penyok twsnya aman,positive
moga awet segi kualitas sesuai harga bagus,positive
kualitas sesuai harga kapok pake kirim cepat barang estimasi chat cs nya,positive
mantap bang awet barang alhamdulillah,positive
coba bagus suara baik ukur nya telinga ku,positive
terima kasih barang nya sesuai pesan moga awet,positive
pesan f beda harga beda,neutral
berfunsi baik mas nya rapi lumayan pnyok krdusnya tidak papa isi aman,positive
mantap,positive
lega packing nya rapi barang tidak rusak aman harga sih harga segitu,positive
harga bnget harga gin,positive
peking aman kirim cepat produk bagus,positive
bagus,positive
toko nya percaya tws nya nyala terima kasih,positive
oke belum coba,positive
selamat ok kirim,positive
barang oke kabel bawa tidak jalan cas suara segitu oke,positive
suara pas,positive
packing bagus kualitas barang tws oke,positive
suara enak fungsi baik,positive
tidak usah harap an oke,positive
kabel cas mikro tidak fungsi sisa aman,neutral
respon cepat barang sesuai pesan cas moga awet fungsi baik,positive
packingnya lumayan oke pakai bubble wrap,positive
mantap ka barang pesan fungsi baik,positive
lumayan bagus rapi koneksi bluetooth kadang kadang putus putus lumayan bagus kualitas barang,positive
mantap nih,positive
suara bagus sesuai harga,positive
bagus suara golong ok toch sensor belah kanan tidak fungsi salah,positive
ok,positive
pesan,negative
sesuai harga anc nya gimmick ygy affh iyh iya harga murah harap anc sesuai budget poko ragu nyobain beli produk arti support edar,positive
barang cepat kualitas ok,positive
barang oke packingnya rapi aman kualitas suara mantap kelas harga gin masuk bagus arek,positive
kerenn bngett,positive
barang bagus sesuai ekspektasi moga bisa awet senang,positive
delay dikit,positive
sesuai deskripsi sesuai deskripsi sesuai deskripsi,positive
barang sesuai fitur fungsi baik,positive
alhamdulillah fungsi baik terima kasih jual,positive
belum coba minimal kirim masuk cepat,positive
lampu flashlight tidak fungsi tidak nyala,neutral
nyata alat,positive
fungsi baik barang harga bayar,positive
barang bagus tidak cacat,positive
mantap sii kadang suka putus,positive
barang sesuai pesan fungsi baik harga sahabat keren,positive
gambar realita puas beli toko,positive
bagus sesuai,positive
kirim cepat mudah an fungsi baik,positive
mantap barang bagus baterai awet,positive
omg pecco bagnaian crash motegi,positive
mantaff berkwalitas,positive
kirim barang cepat,positive
bagus,positive
bagus pakai kesana nya mudah rusak,positive
tidak varian bass lumayan sesuai harga,positive
barang bagus cuman suara ngebass aja,positive
mantapppppppp,positive
packing rapi biarpun tipis bagus barang,positive
lumayan harga segitu kalo bagus beli harga mahal baterai boros awet tidak bad harga gin,negative
kondisi bagus barang sesuai ekspektasi,positive
mantap tws nya stereo fungsi bicara kualitas audio harga,positive
nyala nya belah beda jaring bluetooth,positive
barang super keren bingit pokok nya keren abis moga awet terima kasih,positive
barang bisa uang,positive
terima lihat aja klik nyata indikator tidak nyala bingung baterai dicharge kualitas,neutral
mantap moga awet,positive
best,positive
barang aman packing bagus,positive
mantap barang cepat,positive
harga jangkau kualitas headsetnya bagus baterai tahan kualitas suara oke koneksi bluetoothnya bagus jual gercep,positive
serius produk nya ekspektasi aja nyata suara hasilin bagus beneran indikator baterai nya tidak liat,positive
puas layan jual respon tanggap keluh solusi toko barang,positive
terima kasih,positive
mantap,positive
rapi packingnya produk bagus coba bass nya lumayan suara jernih bawa motor sih suka putus sinyal lagu mati lumayan,positive
keren sesuai expektasi belah kiri tombol gak nempel over all puas,positive
emas bubble bungkus produk kondisi baik,positive
harga murah suara ok moga awet,positive
mantap barang bagus kualitas terima kasih kak,positive
jual respon cepat barang sesuai harga suara belum coba mati belah tidak bisa cas kurir amanah sopan,positive
kualitas oke,positive
mantap moga bisa awet,positive
karet ganti nya tidak,positive
kirim cepat barang sesuai barang original suara jernih,positive
oke,positive
barang bagus suara bersih proses cepat recomended,positive
barang sesuai order respon cepat emas rapi terima kasih juragan moga kwalitasnya baik,positive
kiri kanan barter yu jaksel,neutral
kualitas baik harga murah,positive
mantap,positive
packing aman barang sesuai gambar harga,positive
kiri tidak suara,negative
bassnya nampol gak sember biar kate bass offside kirim kilat cepat mantan hilang,positive
mantap,positive
bassnya mantap,positive
terima baik emas rapih coba kabel type fungsi baik headset belum coba,positive
terima kasih barang moga awet,positive
barang bagus,positive
mantap,positive
barang original suara jernih suara bersih,positive
desain keren suara enak dengar,positive
wajar sesuai harga barang kemas rapi cepat kirim,positive
barang original nyaman pakai suara jernih desain modern koneksi bluetooth kuat baterai tahan,positive
brngny tidak fungsi,neutral
jual cepat respon kirim cepat suara bagus,positive
pesan hitam nya putih,neutral
barang terima baik kirim cepat kurir ramah,positive
bisa start pause respon sensitif,neutral
oke laah sesuai bass nya sopan,positive
kenceng,neutral
mantap recomended suara ngebass toko nya bisa percaya kirim cepat packing rapih senang beli toko terima kasih sukses,positive
alhamdulillah barang terima sesuai pesan terima kasih kak,positive
aman,positive
bagus,positive
alhamdulillah sesuai pesan,positive
mantap,positive
barang oke cepat sayang tidak manual untung tidak pake ginian,positive
bagus sihh kabel putus,positive
suara mantap bass glerrr belah bunyi belah mati coba sambung ulang,positive
sesuai harga,positive
alhamdulillah kondisi normal,positive
mantap sesuai ukur harga,positive
barang sesuai pesan terima kasih,positive
paket darat aman cepat kualitas bagus harga segitu,positive
barang sesuai pesan terima kasih booos moga awet,positive
murah tidak murah keren,positive
baik cepat bagus bass vokal suara jedag jedug mantap,positive
terima kasih headset kiri tidak suara,positive
siang si normal normal aja pake menit an kanan cas ngisi kiri tidak kalo connect,neutral
kualitas barang jelek tidak sesuai pesan,negative
alhamdulillah fungsi baik,positive
terima kasih paket lumayan suara,positive
gambar beda,neutral
ngebass tidak cocok telinga cocok telinga suka suara ngebass k sember cocok telinga orang indonesia doyan dangdut tidak,positive
kualitas ok harga murah,positive
emas rapi produk coba sebentat baik,positive
mantap nian nih,positive
mati belah gak suara nyala nyala doang lampu,negative
alhamdulillah barang oke kendala tidak nyala udah bisa naterus alat besi mendem dalem,positive
paket tuju bagus cuman delay pas main game,neutral
tutor pakenya kak kok hidup aja,positive
barang tidak bisa pakai,negative
beda sen headset belah kanan bunyi kresek mulu,neutral
barang ori sesuai deskripsi jual responsif batang fungsi baik,positive
pesan terima baik sesuai jadwal terima order,positive
bagus murah fungsi baik power bank nya cock charger ponsel karna karna cepat panas cepat abis kalo airpods nya cocok,positive
kemas penyok suara sesuai harga kirim cepat,neutral
bagus,positive
barang bisa moga tahan,positive
baterenya asli irit sayang koneksi putus kalo ramai stasiun kalo hape masukin saku celana,positive
pakai ngecas tidak full respon balas lambat,negative
kualitas sesuai harga aja,positive
jossss,positive
bagus kakak,positive
barang nya bagus bisa mono tidak bisa stereo,neutral
terima kasih pesan gambar moga sukses,positive
headset belah kiri suara,neutral
mantap harga segitu barang selamat,positive
mantaappo suara lumayan bagus bassnya harga to buy,positive
barang udah suara bagus,positive
terima kasih,positive
mantap juragan sesuai,positive
oke kalu bisa bungkus kardus boss plastik biarkemasan tidak penyok,positive
packing aman fungsi baik,positive
barang oke kabel cas tidak fungsi,positive
kirim cepat kualitas barang bagus suara pas konektivitas mudah,positive
mantap dah fungsi,positive
packing nya oke barang pack mati belah,positive
mantap,positive
pesan versi versi belum coba cas,positive
fungsi baik,positive
bagus,positive
mantap kren suara mantap basss nya ok,positive
bagus sesuai harga barang fungsi proses cepat,positive
wadah cas tidak bisa cas kaya bisa power bank nyata fake lumayan si,negative
mantuuuuuuul joooos bass brasa,positive
barang dah terima selamat pokok mantap,positive
kanan tidak fungsi,neutral
fungsi baik kirim cepat packing rapi bass lumayan gabung,positive
muas hehe,positive
packing aman kualitas suara bagus sambung bluetoothny ponsel so so bagus,positive
barang bagus suara oke,positive
belum coba moga fungsi baik normal,positive
barang oke fungsi baik jual proses barang cepat pesan kemarin besok udah keren moga barang awet,positive
barang terima terima kasih tokopedia kurir,positive
biar bintang aja komen,positive
mantap jiwa mantap ngebass nya instal apk bluetooth,positive
packing aman headset fungsi baik kualitas suara bagus,positive
nyala kresek kresek baterai cepat moga awet,positive
kualitas suara kresek kiri mati total tidak charge,negative
sound nya bagus dipake moga awet,positive
mantap ngirimnya,positive
ok kualitas sesuai harga produk jalan baik salah tws rekomendasi budget ribu kualitas ok rekomendasi,positive
beda tipe,negative
desain modern belanja,positive
barang terima bagus sesuai ekspektasi suara nya bagus,positive
mantap harga murah kualitas ekspektasi didapet next upgrade nih,positive
ok,positive
barang sesuai deskripsi lumayan harga gin hubung ponsel laptop tidak suara standar fungsi baik harga to buy nyari tws,positive
lampu indikator status baterai nyata tidak gambar barang fungsi baik,positive
harga harga segitu lumayan suara packingnya aman,positive
packing aman rapi barang sesuai,positive
ok,positive
terima kasih barang terima sesuai order deskripsi moga awet,positive
wow,positive
sesuai harga nelp suara nya,positive
left tidak bisa hubung android ponsel nya,negative
barang muantappp pisannn,positive
murah kelas pakai nya bass muncul asa nyaman telinga jam pakai nonton,positive
cepat respon,positive
recommend jual respon tanggap ramah konsisten mantap pokok harga saing grab cepat ser,positive
moga awet,positive
beli kali puas barang moga awet,positive
pesan f tidak ap deh ikhlas aja biar awet,neutral
responsive jual barang udah belum coba,positive
barang fungsi baik moga awet,positive
